,sentence
32,머스크는 서한에서 트위터를 인수한 이유는 폭력에 의존하지 않고 다양한 신념이 건강하게 논의될 수 있는 공동 디지털 광장을 갖는 것이 문명의 미래에 중요하기 때문이라며 현재 소셜 미디어가 증오를 낳고 우리 사회를 분열시키는 극우파와 극좌파의 반향실(echo chamber)이 되고 있다고 말했다.
33,그러면서 더 많은 돈을 벌기 위해 트위터를 인수하지 않았다며 나는 내가 사랑하는 인류를 돕기 위해 인수를 결정했다고 말했다.
34,그는 트위터는 아무론 결론 없이 아무 말이나 할 수 있는 자유로운 지옥이 될 수 없다며 기본적으로 트위터는 광고주의 브랜드를 강화하고 기업을 성장시키는 세계에서 가장 존경받는 광고 플랫폼이 되기를 열망한다고 덧붙였다．
35,이들이 트위터에서 쫓겨나게 되면서 거액을 받을 수 있게 된 이유는 적대적 인수·합병(M&amp;A)에 대비한 조항 때문이다.
36,트위터는 이른바 황금 낙하산 조항(golden parachute provisions)을 규정하고 있다.
37,이는 인수대상 기업의 이사가 임기 전에 물러날 경우 이들의 신분 보장을 위해 일반적인 퇴직금 외에 거액의 특별 퇴직금이나 보너스 스톡옵션 등을 주도록 하는 내용이다.
38,(왼쪽부터) 김지나 롯데카드 브랜드전략실장 서효원 농촌진흥청 국립식량과학원장.
39,/롯데카드 제공 이번 시상식은 환경·사회·지배구조(ESG) 경영을 실천한 우수 기업 관계기관 등을 발굴하고 ESG 경영 사례를 공유 및 확산하기 위해 마련됐다.
40,이번 시상식에서 농촌진흥청장상을 받은 롯데카드는 ESG 캠페인 ‘띵크어스(THINK US &amp; EARTH)’로 지역 발전을 위해 활동하는 창업가에 대한 지원 활동을 전개한 점을 높게 평가 받아 수상의 영예를 안았다.
41,띵크어스는 세상을 바꾸고자 하는 고객의 가치 있는 생각(THINK)을 롯데카드가 다양한 크리에이터들과 연결시켜 지속가능한 사회(US)와 지구(EARTH)를 만들어 가겠다는 의미를 담고 있는 ESG 캠페인이다.
42,▲전남 고흥의 ‘담우’ ▲경기 가평의 ‘크래머리 브루어리’ ▲경북 의성의 ‘젠틀파머스’ ▲경북 김천의 ‘투마루’ ▲강원 강릉의 ‘더루트컴퍼니’ 등을 지원했다.
43,이들 기업은 지역자원으로 특산품을 생산하고 지역민을 고용하며 재활용 기술로 자원 순환에 기여하는 등 지역에 긍정적인 영향력을 전하고 있다는 게 롯데카드의 설명이다.
44,또 금채민 김기정 이현정 작가 등 히든 크리에이터를 발굴하고 작품들을 디지로카앱을 통해 고객에게 홍보하고 있다.
45,롯데카드는 디지로카앱의 회원 전용 쇼핑몰 ‘띵샵(띵Shop)’에 띵크어스 참여 업체를 입점시키고 기획전을 진행하는 등 크리에이터에 대한 지원을 이어나갈 계획이다.
46,CJ 관계자는 “경기 침체에 따른 실적 둔화에 대한 단기 대응도 중요하지만 그것만 해서는 그룹의 체질을 바꾸고 글로벌 기업으로 도약할 수 없다는 게 경영진 판단이라고 했다.
47,어려운 대내외 환경에서 그룹 성장비전을 흔들림 없이 추진하기 위해 조기 인사로 내부 조직을 먼저 가다듬고 이들과 곧장 내년 이후 그룹 성장을 위한 비전과 미래전략을 논의하는 수순을 선택했다는 설명이다.
48,글로벌 경기침체에 대응하는 것은 기본이며 미래성장을 위한 준비를 게을리하지 말아야 회복기 퀀텀 성장을 이를 수 있다는 의미에서다.
49,특히 이의 실현을 위해 인재들이 마음껏 일할 수 있는 환경 구축이 무엇보다 중요하다고 보고 다양한 인사제도 조직문화 혁신에 동시에 나섰다.
50,CJ는 그동안 미래 유망분야 전략적 M&amp;A 지분투자에도 다양하게 나서 유전자치료제 위탁개발생산(CDMO) 기업 바타비아(CJ제일제당)와 글로벌 제작 스튜디오 엔데버콘텐트(CJ ENM엔터)를 인수하고 팬덤 비즈니스 전문 스타트업 ‘비마이프렌즈’에 지분투자(CJ주식회사 CJ올리브네트웍스) 하기도 했다.
51,CJ그룹은 는 “인재들이 오고 싶어 하고 일하고 싶어 하고 같이 성장하는 CJ를 만들겠다는 이재현 회장의 의지에 따라 조직문화 혁신도 활발히 추진했다.
52,자기주도형 성장과 업무 몰입 환경 조성을 위해 리더공모제와 잡 포스팅(Job Posting) 사내벤처 등을 도입하고 거점오피스와 선택적 근로시간제도 확대하고 있다.
53,com서울뉴시스동효정 기자 이재용 삼성전자 회장이 앞으로 뉴 삼성을 어떻게 개막할 지 주목된다.
54,특히 이 회장 경영 체제를 안정적으로 뒷받침하려면 지배구조 개편이 뒤따라야 한다는 목소리가 커지고 있다.
55,현재 삼성 지배구조는 이 회장 등 오너일가→삼성물산→삼성생명→삼성전자로 이어진다.
56,이런 지배구조 상 삼성전자에 대한 이 회장의 책임경영을 강화하려면 대대적인 개편이 필요하다는 지적이다.
57,이 경우 삼성물산과 삼성생명을 고리로 한 지배 구조가 취약해져 이 회장의 그룹 장악력에도 영향을 줄 수 있다는 평가다.
58,이 때문에 중장기 관점에서 삼성이 오너 일가의 그룹 소유 구조를 개편하는 로드맵을 완성할 수 있다는 관측이다.
59,이 회장은 당시 저와 삼성을 둘러싸고 제기된 많은 논란은 근본적으로 승계 문제에서 비롯된 게 사실이라며 이제는 경영권 승계 문제로 더 이상 논란이 생기지 않도록 하겠다고 말했다.
60,이런 공언은 삼성이 기존 오너 체제의 지배구조에서 전문경영인 체제로 전환을 준비해야 하는 또 다른 이유가 되고 있다.
61,재계에선 이에 맞춰 삼성이 전문경영인 체제를 도입하고 이 회장 자녀를 비롯한 오너 일가는 향후 이사회 구성원으로 그룹 내 주요 의사결정에 참여하는 형태를 갖출 것으로 본다.
62,재계 관계자는 중장기적으로 이 회장의 삼성전자 지배력을 강화하기 위한 작업이 필요하다며 BCG에 의뢰한 보고서를 바탕으로 이르면 연내 지배구조 개편안이 발표될 가능성이 있다고 말했다．
63,로이터연합뉴스 트위터를 품은 일론 머스크 테슬라 CEO(최고경영자)가 대대적인 변화를 예고했다.
64,그가 경영권을 확보한 뒤 파라그아그라왈 CEO와 네드 시걸 CFO(최고재무책임자) 비자야 가데 법무·정책담당이 회사를 떠났다.
65,블룸버그통신 등 외신은 머스크가 도널드 트럼프 전 대통령의 계정 복구를 검토할 것으로 예상했다.
66,앞서 머스크는 트위터의 콘텐츠 통제를 비판하면서 계정 영구 차단과 트윗 삭제 조치에 신중해야 하다는 입장을 나타냈다.
67,트위터가 비상장 회사로 전환하면 실적을 공개할 필요가 없고 미국 증권거래위원회 규제에서도 벗어나게 된다.
68,기사내용 요약임직원 독려 위해 인센티브 도입참여형 사회공헌 지속 확대 예정 동부건설 사옥 코레이트타워 전경.
69,(사진 제공동부건설) *재판매 및 DB 금지서울뉴시스 고가혜 기자 동부건설이 환경·사회·지배구조(ESG) 나눔경영 실천의 일환으로 헌혈 캠페인을 진행한다.
70,동부건설은 임직원들의 적극적인 캠페인 참여를 독려하기 위해 헌혈시 휴가 등 인센티브를 제공하는 제도를 시범적으로 도입 실시하고 있다.
71,임직원들은 캠페인 기간 동안 자발적으로 헌혈에 참여한 뒤 헌혈증을 회사에 제출하는 방식으로 진행되고 있다.
72,이렇게 모인 헌혈증은 캠페인이 종료된 후 연말에 개인 또는 단체 등 도움이 필요한 곳에 기부될 예정이다.
73,한편 동부건설은 사내 플리마켓(중고장터) 일회용품 제로 릴레이 조깅을 하며 동시에 쓰레기를 줍는 플로깅(Plogging) 캠페인 등 다양한 ESG 경영 활동을 펼치고 있다.
74,또 협력사와의 동반성장을 위한 각종 지원 등 상생협력에도 적극적인 실천을 이어가고 있다.
75,동부건설 관계자는 헌혈이라는 작지만 큰 실천을 통해 사회에 공헌함으로써 헌혈 수급이 필요한 여러 곳에 도움이 되길 바란다며 향후에는 단체 헌혈 등 이를 확대하는 방안도 검토하고 있으며 이외에도 임직원이 직접 참여하는 형태의 사회공헌 활동을 지속적으로 이어나갈 방침이라고 말했다.
76,인수 후 첫 행보로 임원진을 해고해 머스크가 직접 CEO 직을 차지할 것이라는 의혹이 제기되고 있다.
77,(사진일론 머스크 트위터)아직 회사 차원에서 인수 마무리를 공식 발표하지 않았으나 머스크는 자신의 트위터에 “새가 풀려났다고 적어 거래가 완료됐음을 암시했다.
78,트위터 로고는 파란색의 새 모양이며 플랫폼에 글을 올리는 ‘트윗’이란 말은 새의 지저귀는 소리에서 따왔다.
79,머스크는 이미 자신의 트위터 계정 프로필을 ‘치프 트윗’(Chief Twit)으로 변경해 자신이 회사의 소유주가 될 것임을 암시했다.
80,&lt;비지니스인사이더&gt;는 사라 퍼소넷 트위터 최고운영책임자(COO)도 해고당했다고 보도했다.
81,&lt;비지니스인사이더&gt;에 따르면 이들은 큰 규모의 퇴직수당을 지급받았다.
82,머스크는 또 인수를 통해 ‘엑스’(X)라는 새로운 앱에 대한 아이디어도 밝혔다.
83,이는 중국의 ‘위챗’처럼 메시징 모바일 결제 콘텐츠 제작 및 공유 기능을 제공하는 종합 앱인 것으로 알려졌다.
84,테크크런치는 “아직까지 세계 최대 SNS 중 하나인 트위터의 미래가 어떻게 될지 모르지만 (머스크가)트위터 장악에 성공했다는 점은 확실하다고 전했다.
85,하지만 플랫폼의 실제 가치 목적 등 트위터가 갖고 있는 불확실성은 이제 막 시작됐을 뿐이라고 주장했다.
86,어려운 대내외 환경에서 그룹 성장 비전을 흔들림 없이 추진하기 위해 조기 인사로 내부 조직을 먼저 가다듬고 이들과 곧장 내년 이후 그룹 성장을 위한 비전과 미래 전략을 논의한 것으로 보인다.
87,그는 CEO들이 각오를 단단히 하고 초심으로 돌아가 온리원 철학을 담은 비전으로 초격차 역량을 만들어 낼 수 있는 좋은 계획을 신속하게 수립 내년에 즉시 실행해야 한다고 강조했다.
88,앞줄 제일 왼쪽으로 이선정 CJ올리브영 신임대표 그 뒤로 (왼쪽부터) 최은석 CJ제일제당 대표이사 강신호 CJ대한통운 대표이사 김홍기 CJ주식회사 대표이사 등 주요 CEO들이 자리하고 있다.
89,가장 뒷줄 왼쪽에 이선호 CJ제일제당 식품성장추진실장 이경후 CJ ENM엔터테인먼트 브랜드전략실장 등이 자리하고 있다.
90,(사진CJ그룹 제공)이 회장의 이 같은 발언은 글로벌 경기 침체에 대응하는 것은 기본이며 미래 성장을 위한 준비를 해야 경제 회복 시기에 CJ그룹 계열사들이 퀀텀 성장을 이룰 수 있다는 의미로 해석할 수 있다.
91,CJ제일제당은 글로벌 한식 브랜드 비비고를 중심으로 중심으로 만두·치킨·K소스 등 글로벌 전략 제품을 공격적으로 키운다는 방침이다.
92,CJ ENM 엔터테인먼트 부문은 스튜디오드래곤에 이어 장르별 특화 멀티 스튜디오를 설립해 이를 기반으로 글로벌 시장 공략에 박차를 가한다는 계획을 공식화했다.
93,김지나 롯데카드 브랜드전략실장(왼쪽)과 서효원 농촌진흥청 국립식량과학원장이 기념촬영을 하고 있다.
94,이번 시상식은 환경·사회·지배구조(ESG) 경영을 실천한 우수 기업 관계기관 등을 발굴하고 ESG 경영 사례를 공유·확산하기 위해 마련됐다.
95,농촌진흥청장상을 받은 롯데카드는 ESG 캠페인 띵크어스(THINK US &amp; EARTH)로 지역 발전을 위해 활동하는 창업가에 대한 지원 활동을 전개한 점을 높게 평가받았다.
96,띵크어스는 세상을 바꾸고자 하는 고객의 가치 있는 생각(THINK)을 롯데카드가 다양한 크리에이터들과 연결 지속가능한 사회(US)와 지구(EARTH)를 만들어 가겠다는 의미를 담은 ESG 캠페인이다.
97,표준감사시간제 내부회계관리제도 감사 등의 도입으로 감사투입시간 증가했고 자산규모가 큰 회사에 대한 외부감사가 전기보다 증가하는 등 복합적인 영향으로 평균 감사보수는 증가 추세를 보였다.
98,하지만 경영에 대해 법적 책임을 지는 등기이사가 아니어서 “책임경영과 거리가 멀다는 지적과 함께 삼성바이오로직스 회계조작 혐의로 재판을 받고 있는 처지여서 “부적절하다는 비판도 나온다.
99,이사회는 “책임경영 강화와 경영 안정성 제고 신속·과감한 의사결정을 위한 것이라고 설명했다.
100,이 회장의 승진 절차는 취임식과 취임사 없이 이날 이사회 의결을 거치는 것으로 마무리됐다.
101,이 회장은 이날 서울중앙지방법원에서 열린 재판에 출석하며 기자들과 만나 “국민들에게 조금이라도 더 신뢰받고 사랑받는 기업을 만들어보겠다.
102,이 회장은 ‘미래를 위한 도전’이라는 제목의 글에 “선대의 업적과 유산을 계승 발전시켜야 하는 게 제 소명이라며 “오늘의 삼성을 넘어 진정한 초일류 기업 국민과 세계인이 사랑하는 기업을 꼭 같이 만들자.
103,다만 이날 이 회장은 삼성전자 등기이사를 맡을지 여부나 이른바 ‘국정농단’에 연루돼 참석한 재판에서 밝힌 ‘뉴삼성’ 비전과 이행계획 등은 밝히지 않았다.
104,경제개혁연대는 “불법행위로 삼성전자에 막대한 피해를 입혔는데 대통령 특별복권을 받았더라도 곧바로 삼성전자의 회장으로 선임되는 것은 책임경영과는 거리가 멀다고 지적했다.
105,참여연대는 “미등기 임원인 이재용 부회장이 회장에 오르면 권한은 행사하면서 법적 책임은 지지 않게 돼 삼성이 주장하는 책임경영과는 거리가 멀다고 짚었다.
106,김우찬 고려대 교수(경영학)는 “재판 리스크가 분명한 사람이 한국에서 가장 큰 회사의 회장직에 올랐다는 점은 대단히 부적절하다고 말했다.
107,주금공 관계자는 이번 인증을 통해 준법경영 정책 및 리스크 대응체계를 인정받아 해외 투자기관 대상 MBB 마케팅 및 신용등급 취득 시 긍정적인 효과가 있을 것이라고 말했다.
108,서울뉴시스 송연주 기자 마약진통제·마취제 전문 하나제약이 게보린 플래리스 등 유명의약품을 다수 보유한 삼진제약의 지분을 계속 매집하더니 이내 최대주주에 올랐다.
109,시장에선 하나제약이 삼진제약의 경영권 참여를 노리는 것 아니냐는 의문이 흘러나왔다.
110,마약·마취제에 특화된 하나제약과 달리 삼진제약은 일반의약품 전문의약품 헬스케어 등 다양한 사업을 두루 취급하고 있다.
111,하나제약 관계자는 단순 투자 목적 외에는 없다며 경영 참여의 목적도 없다고 말했다.
112,삼진제약 역시 공시에서 하나제약의 지분인수 목적을 단순투자 용으로 밝혔다.
113,현재 삼진제약 조의환 회장은 공동창업주 최승주 회장과 함께 아리바이오 등 우호지분을 갖고 있어 경영권은 안정적이라고 할 수 있다.
114,이데일리 이혜라 기자 LX한국국토정보공사가 공간정보 중소기업의 성장을 이끌고 기술 혁신을 지원하는 등 ESG 경영에 박차를 가한다.
115,한국중소기업학회 학술대회는 중소기업에 관한 학술 교류 및 연구 성과물 공유의 장으로 특별세션에서 ‘ESG경영 기반 동반성장 혁신 사례’가 발표됐다.
116,또 본사가 위치한 전북지역과 상생 생태계 조성을 보다 강화하기 위해 전주 신산업 융복합지식산업센터 내에 LX공간드림센터를 추가 신설했다.
117,글로벌 공급망 이슈 자금 조달 문제 등으로 인한 애로사항 해결을 위해 협력사의 맞춤형 프로그램을 지원한다.
118,최규명 LX한국국토정보공사 부사장은 “최고 권위의 한국중소기업학회에서 공사의 동반성장 부문의 대상을 받게 되어 매우 기쁘다며 “앞으로도 중소기업의 성장 사다리 역할을 하는 ESG경영에 최선을 다할 것이라고 말했다.
119,(왼쪽부터)박종욱 KT 사장 남철 LG화학 부사장 임동연 가온미디어 대표이사 박용규 마르시스 대표이사 김철수 KT스카이라이프 사장 홍기섭 HCN 사장이 기념사진을 촬영하고 있다.
120,KT스카이라이프가 친환경 셋톱박스 제작 확대에 나서며 ESG(환경·사회·지배구조) 경영 활동을 강화한다.
121,스카이라이프를 포함한 KT와 HCN 등 KT그룹사는 셋톱박스 등 제품 폐기 시 LG화학과 함께 리사이클 과정을 거친다.
122,재사용이 가능한 원료를 추출해 친환경 셋톱박스로 재생산해 임대 단말 케이스의 생산-폐기-재활용으로 이어지는 선순환 프로세스를 완성한다.
123,당시 수거한 폐플라스틱 중 투명 페트병을 선별해 친환경 셋톱박스의 원료로 재활용한다는 계획을 밝힌 바 있다.
124,김철수 KT스카이라이프 사장은 “친환경 임대 단말 생산 체계 구축을 위한 사업 협력에 그룹사로 참여하게 돼 기쁘다며 “앞으로도 스카이라이프는 사회적인 책임을 다한다는 소명 의식을 갖고 다양한 ESG 경영 활동을 추진해 나가겠다고 말했다.
125,로이터 연합뉴스일론 머스크 테슬라 최고 경영자(CEO)가 소셜미디어 트위터 인수를 마무리한 뒤 첫 행보로 기존 경영진을 해고했다고 미국 &lt;워싱턴 포스트&gt;가 보도했다.
126,아그라왈은 머스크 트위터 인수 합의 파기 소송과 관련해 법정에서 머스크 주장을 반박하는 진술을 했던 인물이다.
127,머스크가 세계에서 가장 영향력 있는 소셜미디어 업체 중 하나인 트위터에 “(새 주인으로 왔음을 알리는) 도장을 확실하게 찍으려고 한 것으로 보인다고 신문은 짚었다.
128,머스크가 처음 인수 의사를 밝힌 뒤 트위터 이사회는 적대적 인수·합병 방어 장치인 포이즌필을 쓰겠다며 맞섰다.
129,머스크가 마음을 돌린 이유를 분명히 알 수는 없지만 소송에서 이기지 못할 것이라는 계산을 했을 것이라는 추정이 나왔다.
130,머스크는 그동안 트위터가 언론자유를 충분히 보장하지 않았다고 비판해왔으며 도널드 트럼프 전 대통령 계정 영구정지 조처를 취소하겠다고 했다.
131,이 때문에 머스크의 트위터 인수가 언론 자유의 확장이 될 수 있다는 의견과 혐오 표현과 가짜 뉴스 대응에 트위터가 소극적이 될 수 있다는 우려 반응이 교차했다.
132,억만장자가 공론장 역할을 해온 거대 소셜미디어를 장악하는 것에 대한 우려 또한 나왔다.
133,삼성전자 이사회는 책임경영 강화 경영안정성 제고 신속하고 과감한 의사결정이 절실하다고 판단해 이같이 의결했다고 밝혔다.
134,롯데마트와 이마트에 PB(자체 브랜드) 우유를 납품한 것도 매출에 기여했다.
135,푸르밀 김성곤 노조위원장은 신동환 대표는 독선적이고 이기적인 인성을 바탕으로 어떤 조언도 귀담아듣지 않고 무능력한 경영을 해왔다고 밝혔다.
136,독선적이고 이기적인 인성이 무슨 뜻인가 물었더니 회사 관계자는 가령 자기보다 열 살 더 많은 임원이나 공장장에게 폭언을 하고 결재서류를 던지는 등 여러 사례가 있었다고 설명했다.
137,이에 대한 신 대표의 입장을 들어보려고 회사에 전화를 걸었으나 연결이 불가능했다.
138,김성곤 위원장은 신 대표는 개인 취미생활인 피겨(유명 인사나 영화·만화의 등장인물을 본떠 플라스틱이나 금속 등으로 제작한 물건) 수집에만 몰두하는 것 같다며 대표이사 집무실 직원 휴게실 회의실 노사교섭 회의실조차도 온통 개인 피겨로 장식을 해놓고 있는 실정이라고 탄식했다.
139,실제 신 대표 방에 들어간 직원들은 회사 분위기와 맞지 않는 피겨를 보고 웃음을 참지 못했다고 한다.
140,김성곤 위원장은 그러면서 시대의 흐름을 인지하지 못했고 사업다각화나 신설 라인 투자로 변화를 모색해야 했으나 안일하게 주먹구구식 영업을 해왔다고 덧붙였다.
141,당초 회사 인수에 관심을 보였던 LG생활건강과 SPC는 현장 실사를 해보더니 모두 포기했다고 한다.
142,실제 서울 영등포구 문래동 본사 앞에서 낙농가의 항의 집회가 벌어지는 등 파장은 계속 커질 전망이다.
143,사전 예고 없는 정리해고를 비롯 경영 전반에 대해 당국에서 들여다볼 가능성도 높아지고 있다.
144,재계에서는 푸르밀이 폐업이 아닌 사업종료를 선택한 것은 법인을 유지하면서 법인세 면제 혜택을 계속 받고 차후 부동산 사업 등으로 방향 전환을 하려는 것이 아닌가 관측하고 있다.
145,photo 뉴시스푸르밀을 키운 전문경영인 남우식 퇴임한 전문경영인 남우식 대표는 입지전적 인물이었다.
146,필자는 오래전 중견 D그룹 회장이 기자들 앞에서 자기 아들을 공개적으로 혹평하는데 깜짝 놀랐다.
147,공부 많이 시켜 일류대학 보냈고 미국 명문대에서 MBA(경영학 석사)도 마치도록 했다.
148,귀국 후엔 인적 네트워크를 쌓으라고 각종 상류층 서클에 참가하도록 주선했다.
149,주식도 슬금슬금 자기 명의로 바꾸고 경영 목표를 달성했다길래 알아보니 아예 목표치를 내려 잡았어요.
150,삼성 이병철 회장은 셋째 아들 이건희에게 혼자 해외출장을 다녀오도록 하는 등 다양한 숙제를 주었다.
151,정몽구 회장은 자동차 수리 공장에서 땀 흘려 일하면서 현장 분위기를 익혔고 덕분에 훗날 현대차 회장이 되어서도 자동차 실무지식에 어둡지 않았다고 한다.
152,둘째 그런 훈련을 받은 후계자를 놓고 전문경영인이나 실무자 그룹으로부터 취임 동의를 받아야 한다.
153,치밀했던 이병철 회장은 이건희 회장을 낙점하기 전에 계열사 사장들뿐 아니라 외부 전문가 실무진의 의견을 고루 청취했다.
154,선대나 아버지 가까이에 있던 전문경영인들 이른바 가신(家臣)그룹에 대해서는 부정적이고 심각한 갈등도 빚는다.
155,다만 한국의 고유한 상황에 대한 고려를 하지 않고 글로벌 경영원칙만 내세우며 기계적 판단을 하는 경우가 많다.
156,꿈이나 비전으로 일하던 할아버지나 아버지와는 달리 자기 재산과 지분에 대한 관심이 아주 높다.
157,다만 이들도 창업자 세대가 지녔던 무(無)에서 유(有)를 창조하는 기업가정신을 가지고 있는지는 불분명하다.
158,이준구 서울대 경제학부 명예교수의 주장을 빗대면 평균회귀(Regression toward the mean) 현상 때문에 후손들의 능력은 창업자에 비해 상당이 뒤떨어질 가능성이 크고 세습체제를 고집하면 기업의 활력이 떨어지게 된다.
159,김용기 사업전략부문장(부사장) 주관 하에 계열사 글로벌사업 담당 부서장 NH농협금융 전 해외점포장이 대면과 화상회의를 연계해 참여했다.
160,NH농협금융은 이번 회의에서 올해 글로벌사업 주요 성과와 연도말 사업 마무리 계획을 진단하는 한편 저성장과 고금리 강달러 추세 하의 글로벌 경영환경을 점검했다.
161,싱가포르 현지에 NH농협금융 동남아 핀테크기업 투자펀드를 론칭했고 내년 상반기 중 NH농협은행 노이다지점을 개점할 예정이다.
162,업사이클링 활용 도서관 설립 탄소저감 위한 도심 숲 조성 등ESG경영(환경·사회·지배구조)이 글로벌 화두로 주목 받으며 기업 생존에 필수 요소로 자리 잡았다.
163,롯데홈쇼핑(대표 이완신) 역시 기존 CSR 준법경영 중심에서 친환경 활동을 강화한 ESG 경영을 전개하고 있다.
164,모여서 책을 읽을 수 있는 정자를 닮은 공간 잔디밭처럼 앉아서 쉴 수 있는 휴식공간 그리고 자연을 느끼며 누구에게도 방해 받지 않고 집중할 수 있는 공간으로 구성됐다.
165,빛 열 강수에 강하고 섬유의 보온 충격흡수 방음 기능까지 유지한 패널을 사용해 자재 품질도 우수하다.
166,향후 남산하늘뜰을 시민들의 휴식과 독서를 위한 친환경 공간으로 활용 남산의 랜드마크로 조성해 나갈 계획이다.
167,패션 상품 품질관리를 담당하는 직원들이 패션 산업의 심각한 환경 오염 문제를 언급하며 롯데홈쇼핑에서 보유하고 있는 재고 의류를 섬유패널로 가공해 재활용하자는 의견을 제안했다.
