,sentence
16,인터넷 접속료가 다른 나라와 비교했을 때도 훨씬 높다는 주장은 신빙성이 있는가?망 접속료 외에 CP가 ISP에 네트워크 비용을 내고 있는 국가는 한국뿐이라는 주장이 있다.
17,켄 플로렌스 넷플릭스 콘텐츠 전송 부문 부사장도 직접 컴캐스트에 이용 대가를 지불한다고 증언한 적 있다고 반박했다.
18,하지만 망 중립성을 옹호하는 박경신 교수는 개인과 기업 모두가 인터넷 접속료를 내고 있는데 트래픽에 따라 추가로 비용을 지불하라는 것이 문제라고 꼬집었다.
19,최경진 가천대 법학과 교수는 “국가마다 네트워크 품질이나 요금제 등이 다르기 때문에 단순 비교할 수 없다라며 같은 데이터양과 속도를 기준으로 데이터를 제시해야 한다고 설명했다.
20,망 이용료 법제화로 이익을 보는 주체는 통신사밖에 없다는 주장은 사실인가?망 이용료를 내지 않는 빅테크에 비용 지불을 의무화하면 통신사에 추가 수익이 발생한다.
21,이에 해당 법안은 소비자에게 부담을 전가하고 통신사만을 위한다는 비판이 끊이지 않는다.
22,안정상 수석전문위원은 “빅테크로부터 망 이용료를 받아서 보다 양질의 서비스를 제공한다면 이용자도 수혜를 입을 수 있기 때문에 이는 통신사만을 위한 입법이 아니라고 반박했다.
23,이종관 전문위원은 사견을 전제로 “ISP라 불리는 망 사업자들은 땅을 파서 물리적인 설비를 해둔 후 이용료를 받는 파이프라인 사업과 비슷하다고 비유했다.
24,ISP는 망 유지 비용에 더해 트래픽 증가에 따른 고도화 및 증설 비용까지 부담해야 한다.
25,그래서 ISP 입장에서는 무임 승차를 통해 더 큰 이익을 추구하는 것이 아니냐며 억울함을 호소하는 것이다.
26,반면 플랫폼 입장에서는 이용자와 CP 모두에게 이용료를 거두는 이중 징수를 꼬집는다.
27,이종관 전문위원은 “이미 국가에 세금을 내고 있지만 여의도광장에서 영화를 촬영하기 위해서는 이용 허가를 따로 받아야 하는 것과 비슷하다고 언급했다.
28,“‘수익자 지불 원칙’(재화나 서비스를 제공하는 데 드는 비용을 해당 재화나 서비스의 혜택을 직접 받는 사람이 부담해야 한다는 원칙)은 시장경제의 기본 룰 중 하나이기 때문에 결국 망 이용료를 지불하는 방향으로 가지 않을까 싶다.
29,망이용대가법이 통과될 경우 유튜버 개개인에게 피해가 간다는 문제가 제기된 배경은 무엇인가?망 이용료에 반대하는 유튜버들은 결국 자신들이 피해를 볼 수 있다고 주장한다.
30,안정상 수석전문위원은 “거텀 아난드 유튜브 아태지역 총괄 부사장이 인기 유튜버들에게 홍보를 요청한 것이다며 강도 높게 비판했다.
31,“구글은 당연히 지불해야 할 영업비용을 거부한 채 크리에이터들에게 이를 전가하겠다고 협박하며 일종의 ‘갑질’을 한 것이다.
32,이종관 전문위원은 “높은 영업이익률을 유지하기 위해 유튜브가 한푼의 손해도 보지 않으려고 한다면 유튜버에게 책임을 전가시킬 것이라는 단서를 달았고 최경진 교수는 “순수익률이 높은 구글이 크리에이터에게 책임을 전적으로 전가할지는 알 수 없다.
33,박경신 교수는 발신자 종량제가 의무화되면 인기 콘텐츠를 업로드할 동기가 상실된다는 입장이다.
34,“데이터양에 비례해서 비용이 발생한다면 기업 입장에서는 그만큼 돈을 받을 수밖에 없다.
35,지금은 유튜버들이 무료로 콘텐츠를 올리고 있지만 그 자체가 유료화될 위험이 있다.
36,넷플릭스 입장에서는 한국인이 많이 보는 콘텐츠 예컨대 한국영화를 많이 서비스하면 그만큼 더 많은 비용을 지불해야 하기 때문에 화질을 낮춘다거나 한국영화 제작 투자를 줄일 수 있다.
37,망이용대가법이 통과될 경우 CP뿐만 아니라 일반 플랫폼 이용자들이 떠안는 불이익도 있는가?박경신 교수는 망 이용료가 CP의 콘텐츠 공급에 영향을 미쳐 궁극적으로 소비자가 피해를 볼 것이라고 논설했다.
38,이미 트위치가 결정한 화질 저하나 구독료 인상과 같은 서비스 ‘저질화’로 이어질 거라는 것이다.
39,“넷플릭스 입장에서는 한국에서 유입되는 데이터양을 줄이기 위해 한국 요금만 올릴 수밖에 없는 동인이 생긴다.
40,트래픽 증가로 이용자들의 인터넷 이용이 제한되고 충분한 속도가 보장되지 않는다면 결과적으로 통신 요금이 올라갈 수 있다.
41,“사적 재화로서 인터넷은 독점 및 소비자 권리 침해 가능성이 있어 정부 개입의 소지가 있을 뿐이다.
42,망이용대가법이 통과될 경우 네이버 등 국내 CP가 해외에 진출할 때 불리하게 작용할 수 있는가?결과적으로 해외 CP가 막대한 이용료를 추가 지불하게 된다면 그들의 반발로 한국 CP가 글로벌 시장에서 불이익을 받을 수 있다는 우려가 있다.
43,안정상 수석전문위원은 “원래 해외 진출 시 당연히 내야 하는 비용이었는데 앞뒤가 안 맞는다고 딱 잘라 말했다.
44,이종관 전문위원은 “한국은 콘텐츠를 주로 수출하지 서비스를 많이 수출하지는 않기 때문에 즉각적으로 피해가 온다고 보기는 어렵다고 말했다.
45,다만 장기적으로 봤을 때 “국내 OTT가 해외에 진출할 경우 한국에서처럼 이용료를 지불하라는 요구를 받을 가능성은 있다고 덧붙였다.
46,박경신 교수는 “지금은 지름길 접속 여부에 따라 돈을 낼 수도 안 낼 수도 있는데 법제화 이후 의무가 되는 상황이 발생할 수 있는 것이 핵심이라고 꼬집었다.
47,“원래 인터넷은 각자가 사용량이 아닌 접속 용량에 비례해 비용을 조금씩 지불하면 아무도 데이터 전송료(사용료)에 대해서는 돈을 내지 않아도 되는 정산 구조다.
48,다른 국가에서는 국내 CP가 자국으로 데이터를 보낼 때 망 이용료를 받겠다는 식의 보복 입법을 할 수 있다.
49,조금 다른 수요·공급 법칙보통의 재화는 가격 오르면공급도 따라서 늘어나지만인기 있는 유명작품은 한정천정부지로 값 치솟기 쉬워물과 다이아몬드의 역설보석이 물보다 비싼 이유는구하기 힘든 희소성 때문타계한 작가의 작품값이 더 비싸지는 것도 같은 이유 미술시장이 뜨겁다.
50,따라서 우상향하는 일반적인 공급 곡선과 달리 미술품의 공급 곡선은 수직선 형태가 된다.
51,미술시장의 이 같은 특성을 이용해 큰돈을 번 경제학자가 존 메이너드 케인스다.
52,전쟁이 끝나고 경기가 회복되자 가격이 급등했고 케인스는 큰 이익을 얻었다.
53,작가의 죽음을 기다리는 이유미술시장은 ‘물과 다이아몬드의 역설’이 작용하는 시장이다.
54,많은 사람이 갖고 싶어 하지만 쉽게 구할 수 없다는 희소성이 다이아몬드의 가치를 높인다.
55,빈센트 반 고흐의 ‘별이 빛나는 밤’도 구스타프 클림트의 ‘키스’도 이 세상에 하나뿐이다.
56,작가가 사망하면 더 이상 작품을 만들어낼 수 없으니 작품의 희소성이 높아져 가격이 올라간다는 것이 이유다.
57,미술사적으로 큰 발자취를 남긴 작가 중에서도 죽은 다음에야 가치를 인정받은 사람이 많다.
58,미술시장 효율성 높이는 경매유명한 미술 작품은 주로 경매를 통해 거래된다.
59,이런 상황에서 상품을 너무 비싸게 팔면 지불용의가 낮은 소비자가 시장에서 배제된다.
60,반대로 너무 싸게 팔면 더 비싸게 팔 수 있는 상품을 싸게 파는 꼴이 된다.
61,똑같은 그림을 보고도 어떤 사람은 수백억원의 가치가 있다고 느끼고 어떤 사람은 그저 그림일 뿐이라고 생각한다.
62,경매하면 가장 높은 가격을 제시한 사람에게 작품을 넘겨 작가는 수익을 극대화할 수 있다.
63,넥슨은 방송 플랫폼 ‘트위치’에서 ‘퍼스트 디센던트’ 라이브 방송을 시청하면 누적 시간에 따라 다양한 보상을 제공하는 ‘드롭스 이벤트’를 진행한다.
64,이와 함께 테스트 기간에 캐릭터를 성장시키며 도전과제를 수행하는 성장 이벤트도 실시한다.
65,또한 보이드 요격전 ‘프로스트워커’를 처치하면 주요 업적을 기념하기 위해 특별히 제작된 ‘스팀 베타 스페셜 아이템’을 정식 출시 시 지급하며 연속 방어 미션 보이드 요격전 등 매일 이벤트 미션을 완료하면 ‘칼리버’를 제공한다.
66,장 보드리야르는 소비의 일상성은 쾌락주의적 행동이자 ‘우울한 즐거움’을 유발하며 대중매체는 이런 쾌락주의에 대한 죄의식에 전략적으로 면죄부를 주는 기능을 발휘한다고 주장한다.
67,장 보드리야르는 포스트모더니즘 사상가들 중 한 명으로 이후 ‘기호의 정치경제학비판을 위하여’ ‘생산의 거울’ 그리고 대표작 ‘시뮬라크르와 시뮬라시옹’ 등을 통해 소비 기호 및 가상(假像)이 서로 어떻게 연관돼 사회구조를 구축하는지 설파한다.
68,포스트모더니즘은 모더니즘(현대성)으로 대표되는 서양합리주의(혹은 이성중심주의)에 대한 근본적인 회의(懷疑)를 가지고 이성 권위 규칙 등의 합리주의적 체계를 해체하려는 사조다.
69,즉 포스트모더니즘은 “합리성은 어떠한 문제도 해결할 수 있다는 이성주의에 대한 안티테제(Antithese)로서 현대성의 구조에서 약한 고리를 찾아 공격하고 해체함으로써 현대사회를 해석한다.
70,특히 보드리야르의 ‘소비의 사회’는 현대사회의 소비현상을 경제학의 개념보다는 구조주의적 기호학에 기초해 분석한다.
71,아마존 제공보드리야르에 따르면 소비사회에서 사물들(좁은 의미로는 재화들)은 대형마트 백화점 등에서 끊임없이 전시됨으로써 윤택함의 이미지 즉 행복의 기호(記號) 체계를 구성한다.
72,그리하여 현대사회는 기호질서인 소비질서가 생산질서와 얽혀 있는 장소가 된다고 한다.
73,결국 그에게 소비는 대중매체와 연결된 일상성 속에서 행복이라는 기호(記號)를 추구하는 것과 동일한 것이다.
74,이러한 소비의 일상성은 쾌락주의적 행동이자 ‘우울한 즐거움’을 유발하며 대중매체는 이런 쾌락주의에 대한 죄의식에 전략적으로 면죄부를 주는 기능을 발휘한다고 주장한다.
75,최근 개인의 일상생활을 공유하는 소셜미디어를 보면 그의 지적을 부정할 수는 없는 것으로 보인다.
76,거기서 개인들은 소비한 사물들의 사진을 끊임없이 올리고 그 안에서 개인들은 소비된 사물들을 통해 의사소통을 한다.
77,하물며 프로필사진조차도 서비스산업에 의해 물화(物化)된 사물로서 소셜미디어에서 소통된다.
78,보드리야르는 특히 경제학은 공공서비스와 사적 서비스를 전혀 구별하지 않고 모든 종류의 생산물과 서비스의 가치를 합계한다고 비판한다.
79,그에게 공공지출 등 사회적 평등을 위한 정부의 재분배 정책은 사실상 자본주의 특권층을 보호하는 전술적 요소로서 인식된다.
80,또 생산성 향상이라는 개념은 노동자들을 경쟁시키고 고용불안이라는 보편적인 ‘강박관념’을 만들어낸다고 주장한다.
81,그리하여 소비는 고용불안에 대한 보상으로 경제성장에서 생활수준의 향상이라는 항목으로 개념화된다.
82,그리고 경제성장은 소비를 통해 사회적 불평등 특권계급 불균형 등을 재생산한다고 주장한다.
83,연합뉴스특히 그는 ‘낭비’라는 비합리적 개념에 주목하는데 개인이나 사회가 진정으로 살고 있다고 자각하는 것은 여분의 재화를 소비할 때라고 주장한다.
84,예를 들어 개인이 주거지가 있음에도 시골별장을 따로 소유하는 것 그 행위야말로 ‘여분의 어떤 것’에 대한 낭비라고 설명하며 이러한 낭비의 사회에서는 유명인들은 소비의 영웅으로서 대중문화의 아이콘이 된다고 설명한다.
85,특히 일반인은 전혀 따라할 수 없는 낭비 즉 과잉의 ‘플렉스’가 소셜미디어에서 일종의 ‘소비놀이’로 정착되면서 MZ세대의 명품소비 열풍을 유행시키는 데 일조했을 가능성이 있다.
86,이와 더불어 보드리야르는 소비를 차이(혹은 차별)의 상징적 과정으로 분석한다.
87,즉 소비행위는 사회적 의미작용 및 의사소통과정에서의 교환체계이며 언어적 활동과 동일하다고 본 것이다.
88,다시 말하면 소비된 사물들은 사회적 의미상 차이일 뿐 아니라 사회적 지위의 기호들로서 중층적으로 해석된다고 한다.
89,그것은 마치 영화 ‘악마는 프라다를 입는다’에서 앤드리아(앤 해서웨이 분)의 정체성이 그녀가 입는 패션에 따라 해석되는 것과 같다.
90,물론 영화의 결말에서 주인공은 자아(최초의 패션)로 다시 돌아가지만 보드리야르의 현대 소비사회에서는 자아는 존재하지 않으며 개인들은 오직 소비된 사물들의 차이(기호)로 정체성이 해석될 뿐이다.
91,또한 보드리야르는 현대산업체계에서 소비욕구는 재화의 공급을 항상 초과한다고 설명한다.
92,그는 재화의 생산속도는 경제의 생산성과 연관되나 소비욕구의 확대는 사회적 차이화의 속도와 관련된다고 설명한다.
93,더불어 경제적 생산의 증가에는 한계가 존재하지만 소비욕구의 확대에는 한계가 존재하지 않는다고 지적한다.
94,예를 들어 음식을 소화하는 능력은 한계가 있지만 음식에 관한 문화체계(즉 사회적 차이)는 무한하다는 것이다.
95,우리는 모든 것을 먹을 수 없지만 먹는 행위에 대한 관음(觀淫)은 끊임없이 할 수 있다.
96,신세계인터내셔날 제공그에게 이러한 소비욕구의 초과는 광고와 도시화를 통해 가능해진다.
97,왜냐하면 광고를 통한 유행의 사회적 연쇄반응은 도시라는 밀집된 ‘기하학적’ 장소에서 확대되기 때문이다.
98,그러나 보드리야르는 도시의 인구집중은 결국 개인을 소외시키고 성장의 사회는 풍요로운 사회와는 정반대의 방향으로 발전한다고 주장한다.
99,결국 경제성장은 역설적이지만 구조적 결핍의 재생산에 의해 유지된다는 것이다.
100,트래비스는 아무 생각 없이 포르노를 소비할 뿐 아니라 첫 데이트의 여인을 아무렇지 않게 포르노극장에 데리고 간다.
101,거기에는 사유의 실존적 존재보다는 거대한 도시와 화려한 향락과 광고의 체계에 포섭당한 결핍된 자아만 존재할 뿐이다.
102,보드리야르는 도시의 인구집중은 결국 개인을 소외시키고 성장의 사회는 풍요로운 사회와는 정반대의 방향으로 발전한다고 주장한다.
103,지금까지 설명한 ‘소비의 사회’는 전체 저서에서 극히 일부분일 뿐이며 필자가 제대로 이해하고 설명했는지도 분명하지 않다(그러나 자크 데리다의 해체주의적 관점에서 텍스트는 이미 필자의 손에 있고 오독은 필자의 권리이니까).
104,필자는 보드리야르가 날카롭게 분석한 현대 소비사회의 모순들 예컨대 과잉소비에 대한 병적인 집착 사회적 불평등의 구조적 재생산 등은 분명 개선돼야 하는 사회경제적 문제들이라고 인정한다.
105,더불어 보드리야르의 사회분석이 영화 등 다양한 예술작품에 일정 부분 영향을 준 것은 확실하다.
106,그러나 보드리야르의 소비이론은 경제학에 대한 몇 가지 오해를 바탕으로 발전했기 때문에 그 부분에 대해서는 명확히 지적하고자 한다.
107,먼저 경제학에서 재화들은 소비자의 선호(選好)체계에 의해 선택되는 사물들이지 그것들이 가지고 있는 기호학적 혹은 사회학적 의미들이 직접적으로 고려되지는 않는다.
108,경제학은 소비되는 사물들을 계량화된 수치로 대상화하지 소비자의 소비되지 못한 욕구를 계량화할 수는 없다(욕구는 소비의 효용과는 전혀 다른 개념이다).
109,경제학이 이러한 계량적(수학적) 방법론을 사용하는 이유는 경제현상을 단순히 해석하는 것을 넘어 가장 최선의 해(解)를 찾고 소비자의 경제적 행동을 예측해 경제정책을 수립하기 위해서다.
110,팬데믹의 경제위기를 막기 위한 과도한 유동성 공급 및 전쟁으로 인한 공급망 불안정으로 인해 전 세계는 높은 물가를 경험하고 있다.
111,각국의 중앙은행들은 고물가로 인한 자원배분의 왜곡 및 경기가 부진해지는 것을 피하면서도 고물가를 안정시키기 위한 최적의 기준금리 경로를 찾으려고 노력하고 있다.
112,더불어 정부는 이러한 긴축통화정책으로 인한 고금리 및 고물가로 인해 피해를 보는 취약계층을 보호하는 적절한 재정정책을 집행하려고 한다.
113,한국은행과 통계청을 들어가 보면 국내총생산(GDP)의 세분화된 항목뿐 아니라 기업 노동 소득분배 등 사회적 문제를 다루는 다양한 표준화된 경제지표들을 확인할 수 있다.
114,결국 경제 및 기술이 발전할수록 복잡한 경제현상을 분석하기 위한 지표들은 계속해서 개발되고 전문가들은 관련 경제지표를 가지고 고령화 소득양극화 등 사회경제적 문제를 해결하기 위해 경제정책을 고민한다.
115,모든 경제적 문제들이 하나의 경제모형으로 설명되지는 않으며 가장 오래된 학문 중 하나인 수학도 정합성이 완전하지 않듯 경제학의 정합성도 완전하지는 않다.
116,‘소비의 사회’에서는 명확하게 제시되지 않지만 그는 수렵-채집사회를 예로 들면서 미개사회의 집단적 생활에서는 현대사회가 겪고 있는 빈곤과 결핍이 없다고 강조한다.
117,그러나 그것은 현대사회가 돌아갈 수 없는 향수(鄕愁)일 뿐 지금까지 축적된 문화나 문명 그리고 사회적 자본을 파괴할 수는 없는 노릇이다.
118,그리고 현대사회는 이미 팬데믹을 겪으면서 강제로 붕괴된 소비가 어떻게 타인의 경제활동을 파괴할 수 있는지 분명히 보았다.
119,끊임없는 사물들에 중독된 군중(群衆)에 대한 풍자와 교훈의 우화(寓話)만 계속될 뿐이다.
120,남창우 KDI 거시ㆍ금융정책연구부 선임연구위원남창우 KDI 거시ㆍ금융정책연구부 선임연구위원
121,내년에도 킹달러 현상 더 강해져… 환율 이용하려면 완성품 美수출 유리인플레와 싸우는 시기에 대규모 감세 반대… 법인세 최고세율 인하는 옳아금리 오른다고 주택폭락 오진않아… 하락하면 부동산이 투자수요 만들어 석병훈 이화여대 경제학과 교수 고견을 듣는다 인터뷰.
122,외국인 투자자 입장에서는 당연히 조금이라도 이자를 높게 쳐주는 미국으로 투자자금을 옮겨갈 수밖에 없을 겁니다.
123,신진 경제학자로서 통화정책을 깊이 고민해온 석병훈 이화여대 경제학과 교수로부터 해법을 들었다.
124,석 교수는 세계적으로 중앙은행들이 인플레이션과의 전쟁을 하고 있는 상황에서 한국은행의 고충이 클 것이라고 했다.
125,석 교수는 한은의 통화정책의 제약을 충분히 이해하지만 금리 외의 비표준적 통화정책을 발휘해 시장을 안정화시킬 수 있지 않는가 하는 아쉬움을 표했다.
126,좀 어려운 얘기일 수도 있는데 중앙은행은 포워드 가이던스(중앙은행이 향후 경제상황에 대한 평가를 토대로 통화정책 방향을 예고하는 통화정책 커뮤니케이션 수단)라는 수단을 통해 기대 인플레이션에 영향을 미치고 정책 목표를 어느 정도 달성할 수 있습니다.
127,특히 가계·기업·정부의 부채 부담이 가중되는 상황에서 시장을 급변시키는 금리조정 외에 포워드 가이던스를 활용해 인플레를 어느 정도 누그러뜨릴 수가 있는 겁니다.
128,대담 이규화 논설실장석 교수는 한은의 포워드 가이던스 정책은 유용성을 잃었다고 진단했다.
129,석 교수는 이밖에 법인세 최고세율 인하 효과가 분명하지만 인플레이션 상태에서 내년에는 유보하는 게 바람직하다고 했다.
130,-미국 달러 대비 한국 원화가 큰 폭으로 절하되고 있는데 미국 연준 금리 인상에 따른 것이지만 미국이 글로벌 가치사슬(GVC)에서 중국을 배제하면서 한국이 지정학적 낀 처지에서 오는 영향도 제기됩니다.
131,원화가 휘둘리는 것을 보면서 한국이 선진국이 맞나 하는 의문을 제기하기도 하는데요.
132,현재 우리나라는 다른 문제는 없는데 지정학적으로 초강대국 미국과 중국 사이에 위치하고 있다 보니 안보 측면에서는 미국에 의존을 많이 하고 중국과 가까운 위치라서 경제적으로는 또 중국과 상당히 밀접한 관련을 맺고 있어요.
133,중국으로부터 자재 수입을 많이 하고 또 중국이 우리나라의 최대 수출국이기 때문입니다.
134,미국은 자동차산업이라든가 철강산업을 상대적으로 비교 우위가 있는 중국 일본 한국 등 다른 나라로 넘겨주고 첨단산업 이행 과정으로 갔었던 겁니다.
135,-그러나 현재 미국은 전기차 배터리 바이오산업 등을 자국 내서 생산하는 것으로 전략을 바꿨습니다.
136,미국은 비교우위를 잃어가는 산업에 있던 노동자들이 대량 실업에 내몰리게 됐어요.
137,자동차 산업에서 일하다가 오늘 당장 바이오 첨단산업 회사에 취직해서 일을 할 수는 없잖아요.
138,다시 교육을 받아야 하는데 그런데 실업자가 된 상황에서 분노가 폭발한 것이죠.
139,미중 갈등이 격화되기 시작하면서 세계 경제에 새로운 블록화가 촉발되기 시작했죠.
140,그 갈등이 극단적으로 나타난 것이 러시아가 우크라이나를 침공하면서 러시아·중국편 미국을 포함한 서방편으로 갈려 자원도 무기화하게 된 겁니다.
141,안보 동맹끼리만 자유무역을 하자 이런 식으로 편을 가르다 보니까 세계경제 측면에서는 안 좋은 일이죠.
142,재화의 총공급도 줄어들고 공급이 줄어드니까 당연히 재화의 가격은 올라가서 전 세계적인 물가 상승인 인플레이션 현상을 지금 겪고 있는 겁니다.
143,-그 과정에서 미국이 인플레이션 감축법(IRA)을 통해 우방의 이익을 침해하는 일도 벌어지는데요.
144,미국은 러시아 중국 그룹과 미국 그룹간 갈등이 격화되는 상황에서 중국이 미국의 기술을 따라오고 미국 경제를 능가하려고 하는 것을 견제하고자 하는 욕구가 상상 외로 강합니다.
145,물론 중국이 세계무역기구(WTO) 가입 이후에도 국제규범을 어기고 기술을 절취하는 등 불공정 행위를 한 것은 좌시할 순 없이지만요.
146,최근에 반도체산업 육성법이라든지 인플레이션 감축법 이런 걸 이용해서 중국에 반도체 생산 기지를 건설하지 말라고 압력을 넣고 있는 것도 그 때문입니다.
147,전기차의 원료나 배터리도 중국 원료와 소재를 쓰지 말라 압박을 가하기 시작한 것이죠.
148,그 사이에 낀 한국도 난감한 상황에 처해서 대중국 수출이 감소하는 원인 중 하나가 되고 있습니다.
149,안보를 미국에 크게 의존하다 보니까 미국의 입장을 따라갈 수밖에 없는 상황입니다.
150,이제 미국에 대한 의존도를 높이는 방향으로 불가피하게 경제구조를 전환할 수밖에 없다고 봅니다.
151,수출선도 다변화하고 수입선도 중국을 가능한 배제하는 쪽으로 가야 할 겁니다.
152,미국이 자유무역 네트워크에 편입하는 남미 쪽 국가라든지 호주 베트남 동남아시아로 수출·수입선을 다변화하는 게 필요하다고 생각합니다.
153,특히 내년 세계경제는 올해보더 더 위축될 것이라는 전망이 나오고 있습니다.
154,내년에도 저도 개인적으로 우리나라가 경기 침체를 겪을 수밖에 없다고 봅니다.
155,왜냐하면 주요 수출국인 여러 나라들도 지금 강 달러 현상으로 인플레이션이 수출되고 있고 세계적인 인플레이션 하에서 각 나라들도 중앙은행이 금리를 올리다 보니 금리가 올라가면 소비가 침체되고 투자도 침체돼 결국은 국내총생산(GDP)이 정체 또는 감소하거든요.
156,한국은행도 금리를 올리고 있는 상황에서 국내 소비와 투자도 침체되고 수출도 줄어드니까 경기 침체도 올 수밖에 없는 거죠.
157,그러면 미국 구매력은 그만큼 세지니까 세계경제의 부양 역할을 좀 할 수 있지 않을까요.
158,미국이 강력한 긴축적 통화정책과 고금리 기조를 계속 가져가면 외국의 투자자들 입장에서는 이자율을 조금이라도 더 많이 주는 미국으로 투자 자금을 한국에서 옮기게 되고요.
159,그러면 당연히 원·달러 환율은 상승을 하게 되니까 달러화 가치는 점점 강해지고 전 세계적인 경기 침체로 안전자산인 달러 선호 현상은 더 강해질 수밖에 없을 겁니다.
160,환율 상승의 이점을 이용하려면 완성품을 미국 시장으로 수출하는 게 유리합니다.
161,-미국 시장을 적극 노리라는 말씀이지요?근데 한 가지 좀 나쁜 소식은 미국 시장에서 한국 제품과 경쟁을 하는 일본 중국 제품들도 환율의 이점을 보거든요.
162,위안화도 약세지만 미중 갈등 때문에 중국의 미국 수출도 어려워지고 있어서 지금 가장 걱정되는 것은 엔화 약세 때문에 일본 제품과의 경쟁이 녹록치 않다는 겁니다.
163,인플레이션 감축법 반도체산업 육성법 바이오 행정명령 이런 것들의 취지가 중국으로부터 수입하던 것을 금지하는 것이거든요.
164,그러면 중국 대체 수입처로 한국이 원래는 이득을 봐야 정상인데 그게 아니라 아예 생산 기지 자체를 미국으로 가지고 오라는 것이니까요.
165,미국에 투자해서 미국에 공장 짓고 미국의 노동자들을 고용해서 미국에서 생산하라 이런 취지다 보니까 한국의 수출에는 큰 도움이 안 되는 측면이 있거든요.
166,한국의 수출에도 도움이 안 되고 미국으로 생산 기지를 옮겨야 한다면 장기적으로 한국의 고용에도 도움이 안 됩니다.
167,-미국이 안보와 함께 경제동맹을 강조하지만 한국에 난제를 던지고 있습니다.
168,그런데 문제는 미국이 최근에 자국 우선주의로 관련 산업에 대한 한국 기업의 투자를 미국 내에 하라고 자꾸 압력을 넣는 겁니다.
169,국내에 많은 반도체학과들을 신설해서 육성된 청년들이 취업하려고 하면 그 일자리가 다 미국에 생기는데 국내에서는 없단 말이에요.
170,그걸 어떻게 해야 될지 나중에 노동력의 미스매치가 생기는 게 아닌가 걱정됩니다.
171,-미 연준의 금리인상 기조는 적어도 내년 상반기까진 계속된다고 봐야겠지요.
172,금리를 계속 올리겠다고 아예 공개적으로 얘기를 했는데 그렇게 되면 이 어려운 상황이 어느 특정 기간까지 계속 될 거란 말이죠.
173,일단 돈이 많이 풀린 게 원인 되겠고요 통화정책의 시차라는 측면이 있습니다.
174,미 연준에 있는 경제학자들의 최신 연구 결과를 바탕으로 발언을 한 것이거든요.
175,그렇지만 그게 인플레이션 기대심리는 억제하기 때문에 그 효과가 선제적으로 나타날 수는 있어요.
176,-추경호 경제부총리나 이창용 한은총재는 국내 외국인 투자금의 이탈 현상은 없다고 하는데요 금리 차가 더 확대되면 안심할 수 없겠네요.
177,외국인 투자자 입장에서는 당연히 조금이라도 이자를 높게 쳐주는 미국으로 투자자금을 옮겨갈 수밖에 없는 것이고요.
178,그래서 이건 좀 어려운 얘기일 수도 있는데요 제가 포워드 가이던스 얘기를 많이 했습니다.
