,sentence
23,방탄소년단(BTS) 진 아르헨티나 콜드플레이 무대 〈사진빅히트 뮤직〉 진은 우주 분위기로 연출된 The Astronaut 무대에서 콜드플레이의 밴드 연주에 맞춰 열창했고 콜드플레이와 함께 완벽한 하모니로 후렴구를 불렀다.
24,특히 크리스 마틴과 뜨겁게 포옹하며 교감할 뿐만 아니라 무대 곳곳을 누비며 자유분방한 에너지를 발산한 진의 모습이 깊은 인상을 남겼다.
25,이날 진과 콜드플레이가 펼친 The Astronaut 무대는 방탄소년단 공식 유튜브 채널에 업로드된 영상을 통해 확인할 수 있다.
26,디 아스트로넛은 팝 록 장르의 잔잔한 어쿠스틱 기타와 서서히 고조되는 신스 사운드가 조화됐다.
27,보컬리스트 진의 면모를 느낄 수 있는 곡으로 청량하면서도 몽환적인 곡의 분위기를 극대화한다.
28,빛의 마술사로 통할 정도로 조명을 화려하게 잘 쓰는 콜드플레이의 무대 연출과 진의 소년미 넘치는 무대가 조화를 이뤘다.
29,콘서트를 현장에서 본 관객들이 촬영해서 소셜미디어에 올린 영상들 중에 진이 노래가 끝난 뒤 양 팔을 우주비행선의 날개처럼 쭉 뻗고 무대를 달려 콜드플레이의 프런트맨 크리스 마틴에게 안기는 장면 등이 화제가 되고 있다.
30,빅히트 뮤직은 진의 콜드플레이 콘서트 무대가 끝난 뒤 방탄소년단 트위터에 아미 여러분의 응원으로 은하수처럼 멋졌던 디 아스트로넛 첫 무대!
31,팬들에 대한 예의 차원에서 이 공연까지 진행해주면 좋겠다며 저를 설득했다며 팬들이 슬퍼하는 가운데 공연하고 싶지 않아서 부산 공연을 마친 후 입대 계획을 발표했다고 덧붙였다.
32,진의 입대를 둘러싸고 일부 정치인이 대중예술인을 대상으로 한 대체복무제 도입을 추진하자 찬반여론이 갈렸다.
33,억울한 면도 있고 아쉽기는 하지만 팬들의 눈물을 보지 않게 돼서 다행이다고 말했다.
34,According to music industry sources here Jin appeared from the opposite side of the main stage after being introduced by the bands vocalist Chris Martin during the show.
35,The venue was filled with shouts from music fans as soon as the South Korean singer took the stage with some shocked spectators seen incredulously covering their mouths with their hands.
36,The Astronaut is a pop-rock genre song co-written by Coldplay with the British band also playing on the recording.
37,Jin participated in writing the lyrics expressing his affection for Army the global fandom of the K-pop septet.
38,Jins deeply sentimental voice accompanied by a calming sound of acoustic guitar and gradual build-up of synth sound creates the mysterious and dreamy mood of the song.
39,Jin a BTS member performed his first solo single The Astronaut with the band during the show.
40,Jin a BTS member performed his first solo single The Astronaut with the band during the show.
41,It marks a big sales figure for a single-track album.
42,This photo of Jin a member of K-pop juggernaut BTS is provided by Big Hit Music the bands agency.
43,우리 달님 빛나러 와줘서 고마워 연말 입대를 앞둔 방탄소년단(BTS) 진이 지구 반대편 아르헨티나에서 펼친 첫 솔로 데뷔 무대에 중남미 팬들은 뜨거운 눈물을 멈추지 못했다.
44,콜드플레이의 리더 크리스 마틴은 진을 소개하기 전에 BTS와의 마이 유니버스(My Universe) 협업이 정말 좋았다면서 진과 공동으로 작업한 첫 솔로곡 디 애스트로넛에 대해 설명했다.
45,이어 무대에 등장한 진에 관중들은 환호했으며 관중석은 보랏빛으로 물들기 시작했다.
46,입대를 앞두고 팬들과 잠시 떨어지게 돼 아미들을 위해 만든 곡이라는 디 애스트로넛을 감미롭게 부르자 아미들이 벅차오르는 감정을 추스르지 못하고 눈물을 흘리는 모습이 곳곳에서 포착됐다.
47,진이 부른 너는 나를 향해 빛나고 있었어 어둠 속에 찾은 단 하나의 빛이란 가사는 아미에게 건네는 입대 전 인사였다.
48,아미들은 빛나러 와줘서 고마워 ARMY WILL WAIT FOR YOU 등의 문구를 쓴 손팻말을 들었다.
49,곡 마지막 부분을 크리스 마틴과 함께 열창한 진은 노래가 끝나자 스페인어로 그라시아스(감사해요) 아르헨티나라고 외치고 한국어로 그리고 사랑합니다 아미 여러분이라고 말했다.
50,콜드플레이의 스페셜 게스트로 출연했지만 갑자기 이뤄진 아르헨티나 방문으로 아미들의 콘서트 예매가 불가능했음에도 불구하고 진을 위해 마련된 완벽한 공연장이었다.
51,아르헨티나 최대 일간지 클라린은 진의 사진들을 모은 특별판을 발행했으며 페루의 라레프블리카지는 대선에서나 볼 수 있는 문자 생중계로 진의 공연을 실시간으로 전했다.
52,이번 공연을 위해 인접국 우루과이 페루 파라과이에서도 많은 아미들이 참석했다.
53,특히 진이 입영 연기를 취소하고 연말에 입대 예정이라는 소식이 전해진 후에 깜짝 발표된 아르헨티나 공연 소식은 중남미 아미들의 SNS를 뜨겁게 달궜다.
54,아르헨티나 에쎄이싸 공항에 운집한 아미들은 안전 문제 때문에 다른 통로로 이동한 진을 볼 수 없었으나 일주일 전부터 공연장인 리버 플레이트 스타디움 근처에 텐트를 치면서 콜드플레이 팬들과 평화롭게 BTS 진의 솔로 데뷔 공연을 기다렸다.
55,현지 SNS에서는 매너 있게 콜드플레이 팬들과 교류하기 공연장 앞에서 순번을 정해서 텐트 생활하기 등 전 세계 아미 특징인 배려와 존중이 깃든 메시지를 공유하며 BTS 멤버의 역사적인 중남미 방문을 준비했다.
56,이날 공연은 전 세계 각 영화관에서 라이브플레이로 송출됐으며 SNS로 공연 동영상이 공유되면서 새벽까지 뜨거운 반응을 보였다.
57,The Astronaut marks his first official solo single although he has unofficially released a few songs such as Super Tuna Abyss and Tonight on special occasions including his birthday.
58,Jin is the second BTS member to make a solo debut following J-Hope who dropped his first solo album Jack In The Box in July.
59,A concept photo for The Astronaut the first official solo single from BTS Jin provided by his agency Big Hit Music.
60,(PHOTO NOT FOR SALE) (Yonhap)On Thursday Coldplay teased the upcoming collaboration single on Twitter sharing a snippet of the tracks vocals that go: When Im with you/ There is no one else/ I get heaven to myself/ When Im with you.
61,Hours after the songs scheduled release Jin is set to perform the new song alongside Coldplay at the bands concert in Buenos Aires Argentina for the first time.
62,The release comes two weeks after he made a surprise announcement during the groups concert in Busan that he has come to release a song with a person he likes.
63,He did not give any details of the release at that time but later unveiled Coldplay has participated in the project as a co-writer of the music and lyrics as well as a player.
64,This photo was captured from the British bands Twitter page.
65,After wrapping up promotional activities for The Astronaut Jin is set to temporarily leave the music scene to become the first BTS member to enlist for mandatory military service.
66,In South Korea all able-bodied men are required to serve in the military for about two years.
67,그는 이 시기에 발표한 이유를 두고서는 마지막이라고 이야기해 팬들이 슬퍼하며 (부산) 공연을 보는 것을 원치 않았다고 말했다.
68,진은 이날 자신의 의사와는 무관하게 사회를 달군 대중예술인 대상 대체복무제 도입 찬반 논란에 대한 심경도 솔직하게 밝혔다.
69,그는 한국 내에서는 이 문제로 우리가 욕도 많이 먹었다며 억울한 감이 없지 않아 있다고 덤덤하게 말했다.
70,그러면서 우리는 눈물의 공연(부산 콘서트를 지칭)을 하고 싶지 않았을 뿐인데 여기저기서 안 가는 게 맞다 혹은 무조건 가야 한다며 (논란이) 과열이 돼 욕을 많이 먹었다며 아쉽기는 해도 팬들이 눈물의 공연을 보지 않게 돼 다행이다.
71,욕은 좀 먹었지만 만족한다고 그간의 상황을 털어놓고 후련한 표정을 지었다.
72,이어 퍼미션 투 댄스가 마지막이었지만 콘서트는 하고 가야 하지 않겠느냐고 해서 콘서트를 진행하게 됐다며 멤버들과 군대에 가면 콘서트가 너무 그리울 거라고 이야기했다고 덧붙였다.
73,군대에 간다고 간접적으로 이야기를 돌려서 했던 것이라고 이제야 속 시원한 듯 털어놨다.
74,저는 꼭 봄이나 여름 늦어도 가을에 군대에 갔으면 좋겠다고 멤버들과 이야기했거든요.
75,그런데 이게(부산 공연) 마지막으로 할 수 있는 공연 같다 이것까지 진행해주면 좋겠다 한국에서는 우리가 함성 있는 제대로 된 공연을 하지 못했다고 멤버들이 저를 설득했죠.
76,진은 추울 때 군대에 가면서 팬들에게 예의를 차릴지 아니면 공연하지 않고 내가 좋아하는 더운 날씨에 갈지 진짜 고민을 많이 했다면서도 팬들에게 예의는 지켜야겠다는 생각에 공연을 하고 (군대에) 들어가는 방향으로 이야기했다고 설명했다.
77,한편 진은 첫 솔로 싱글 디 애스트로넛(The Astronaut) 발매를 기념해 밴드 콜드플레이와의 합동 무대 차 아르헨티나 부에노스아이레스에 머물고 있다.
78,그는 아르헨티나 공연이 끝나고 한국에 들어가자마자 며칠 안에 군대에 관해 (서류를) 쓸 것 같다고도 했다.
79,빅히트뮤직 제공방탄소년단(BTS) 팬덤인 아미(ARMY)의 성지 중 하나로 인기 명소인 삼척 맹방해변의 BTS 포토존이 견고하게 재정비됐다.
80,그러나 일반 파라솔 등 촬영 소품을 그대로 재현한 탓에 모래와 해풍에 장기간 노출로 말미암은 훼손 등 유지 관리가 어려웠다.
81,삼척시 관계자는 주변 환경 추가 정비 관광객 반응 분석 선제적 관광 홍보 마케팅 등 BTS 포토존을 새로운 관광 자원으로 활용할 계획이라고 말했다.
82,하이브 제공군입대를 앞두고 솔로 곡 디 애스트로넛을 발표한 방탄소년단(BTS) 진이 이 곡을 쓴 영국밴드 콜드플레이와 아르헨티나 팬들의 환대를 받으며 부에노스 아이레스의 무대에 올랐다.
83,진은 이날 디 애스트로넛을 작곡한 콜드플레이의 크리스 마틴의 소개를 받고 무대에 올랐다.
84,마틴은 방탄소년단은 우리와 다른 음악을 하지만 함께 곡을 만들게 됐고 ‘마이 유니버스’한 곡을 함께하게 됐다면서 지금껏 가장 즐겁고 성취감 있는 협업이었다고 했다.
85,그는 또 그들은 타인을 두려워하기보다 끌어안아야 한다는 교훈을 알려줬다고도 했다.
86,AFP 연합뉴스마틴은 이 곡을 가리켜 우리가 만든 최고의 곡들 중 하나라면서 이제 이 곡을 한국에서 아르헨티나까지 날아온 친구에게 주려고 한다.
87,무대에 오른 진은 마틴과 함께 디 애스트로넛을 함께 불렀고 마지막엔 무대 위를 힘껏 달려 마틴의 품에 안기는 장면을 연출하기도 했다.
88,입대 전 싱글 디 애스트로넛 발표…크리스 마틴이 가이드 녹음 솔로 싱글 디 애스트로넛을 소개하는 방탄소년단(BTS) 진빅히트뮤직 제공.
89,그는 이날 오전 소속사 빅히트뮤직을 통해 배포한 싱글 소개 영상에서 노래 가사는 정처 없이 흘러가는 나 진의 꿈을 찾아주는 너 아미의 이야기라며 이같이 말했다.
90,진은 항상 멤버들과 함께 인사를 드렸는데 혼자 하려니 쑥스럽기도 하고 긴장도 된다며 그동안 제 생일을 기념하며 만든 노래 팬 여러분을 위한 공개곡 방탄소년단 음반에 실린 솔로곡은 있었지만 제 이름의 앨범(싱글 음반)이 나온 것은 처음이라 많이 떨리면서 두근거린다고 소감을 밝혔다.
91,그는 솔로 싱글을 준비하면서 다시 한번 멤버들의 소중함을 느낄 수 있었다고 했다.
92,진은 팬 여러분을 생각하며 준비한 만큼 많은 분이 좋아해 주셨으면 좋겠다며 이 노래를 듣는 동안에는 행복한 기분을 느꼈으면 좋겠다는 마음으로 만들었다고 강조했다.
93,디 애스트로넛은 진의 보컬리스트로서의 면모를 볼 수 있는 곡으로 특유의 청량하면서도 몽환적인 분위기가 특징이다.
94,진은 신곡에 대해 어쿠스틱 기타의 잔잔한 선율과 신시사이저 사운드가 매력적인 곡이라며 방탄소년단의 진으로 저를 만들어 주신 아미에 대한 제 마음을 가사로 표현해 봤다고 설명했다.
95,그는 지구에 불시착한 제 모습을 보실 수 있다며 다른 행성에서 온 제가 우주 공간을 떠돌다가 지구에 불시착하는 내용을 담았다.
96,고향 행성으로 돌아가야 하지만 결국 사랑하는 사람 소중한 것들이 있는 지구에 남기로 결심한 우주인의 여정을 담은 뮤직비디오라고 소개했다.
97,디 애스트로넛은 영국 출신의 유명 밴드 콜드플레이가 공동으로 작사 작곡 연주에 참여해 화제를 모았다.
98,진은 (콜드플레이는) 워낙 좋아하는 분들이기에 다시 한번 인연을 맺게 돼 작업 내내 즐겁고 설렜다며 콜드플레이 형님에게 감사하다고 말했다.
99,또 뮤직비디오에서는 저의 새로운 모습도 보실 수 있을 것이라며 깜짝 등장하는 (콜드플레이 보컬) 크리스 마틴을 발견하는 즐거움도 만끽하실 수 있다고 귀띔했다.
100,진은 이날 오후 팬 커뮤니티 위버스로 진행된 라이브에서 신곡과 관련한 뒷얘기도 들려줬다.
101,마틴이 직접 가이드 녹음을 해줘 그 느낌에 수정을 가하지 않으려 고생했다고도 했다.
102,/빅히트 뮤직 제공 그룹 방탄소년단(BTS) 진의 솔로곡이 전 세계 음원 시장을 휩쓸었다.
103,The Astronaut은 팝 록 장르의 잔잔한 어쿠스틱 기타와 서서히 고조되는 신스 사운드가 조화된 곡으로 진의 특유의 감성이 더해져 보컬리스트의 면모를 느낄 수 있는 곡이라는 평가를 받는다.
104,특히 세계적인 팝밴드 콜드플레이가 진의 첫 솔로 싱글에 참여해 두 아티스트의 협업으로 세계 팬들의 관심을 모으기도 했다.
105,콜드플레이와 협업한 팝 록 장르…청량하면서도 몽환적인 분위기 방탄소년단(BTS) 진빅히트뮤직 제공.
106,디 애스트로넛은 팝 록 장르의 노래로 잔잔한 어쿠스틱 기타와 고조되는 신시사이저 사운드의 조화가 돋보이는 곡이다.
107,이 곡의 작곡 작사 연주에는 영국 출신의 세계적인 밴드 콜드플레이가 참여해 화제를 모았다.
108,빅히트뮤직은 진이 작사에 참여해 아미(방탄소년단 팬)를 향한 애정을 담은 디 애스트로넛은 보컬리스트로서의 면모를 느낄 수 있는 곡이라며 진 특유의 감성이 청량하면서도 몽환적인 분위기를 극대화한다고 소개했다.
109,“(군 문제로) 욕도 많이 먹었는데 좀 억울한 감이 없지 않아 있긴 합니다.
110,/위버스 “군대를 군대라 부르지도 못 하고…군 문제는 ‘볼드모트’							이날 진의 심경 고백은 콜드플레이와 협업한 자신의 솔로곡 ‘디 애스트로넛’ 발표를 기념해 팬들과 실시간 라이브 방송을 진행하던 중 나왔다.
111,그는 자신의 병역 의무를 수차례 “볼드모트라 지칭했고 “자꾸 군대를 군대라고 부르지도 못하고 간다고 말도 못하고…라며 그간 말을 하지 못 해 답답했다는 식의 표현을 반복했다.
112,‘볼드모트’는 소설 ‘해리포터’ 시리즈에서 극 중 이름을 함부로 언급해선 안 되는 무시무시한 악당으로 등장한다.
113,“애초에 ‘BE’ 앨범을 마지막으로 군대에 다녀오려 했고 멤버들도 준비가 다 끝난 상태였다고 했다.
114,하지만 이후 신곡들의 흥행 상황이 변하면서 군 입대가 미뤄졌다는 게 그의 설명이었다.
115,/AFP 연합뉴스										진의 설명에 따르면 이후 그의 군 입대를 또 다시 미룬 건 ‘그래미 시상식’이었다.
116,“원래는 군대 가겠다는 내용이었는데 그걸 간접적으로 에둘러서 한 이야기였다는 것이다.
117,다만 당시 이 방송에서 진과 BTS 멤버들은 군대와 관련된 언급은 전혀 하지 않았었다.
118,“이게 우리가 할 수 있는 마지막 콘서트가 될 것 같으니 이것까지 진행해줬으면 좋겠다.
119,콘서트 전 군 입대를 알리기 위해 동영상도 버전 별로 여럿 찍었지만 “팬들이 슬퍼하면서 공연 보는 걸 원치 않아서 발표를 미뤘다는 것이다.
120,/빅히트 뮤직										그는 그간 이런 심정을 털어놓지 못 한 이유로 “(제가) 비정규직으로 일 하지 않느냐면서 “회사와 재계약도 해야 하는데 밉보여서 뭐 하나.
121,자신과 BTS의 병역문제에 대해 제기돼 왔던 비판 여론에 대한 소감도 밝혔다.
122,이후 BTS와 진은 침묵을 지켰고 정치권과 대중들 사이 이들을 둘러싼 병역 특례 찬반 논쟁이 과열됐다.
123,이에 대해 진은 “저희는 그냥 단지 눈물의 공연을 하고 싶지 않았을 뿐인데 여기저기서 ‘얘네 안 가는 게 맞지 않겠냐’ ‘무조건 가야 된다’ 이러면서 과열이 많이 됐다.
124,아쉽긴 하지만 그래도 팬분들이 눈물의 공연을 보지 않게 되어서 다행인 것 같아 나름 만족한다고 했다.
125,다만 “인터넷 댓글 중 아직도 안 갔냐 그냥 좀 가라 빨리 좀 가라 아직 안 가고 뭐 하고 있냐 이런 글을 보면서 마음이 아팠다.
126,갈 건데 왜라고 했고 “우리는 (군대 갈) 준비도 다 끝낸 상태여서 회사에 ‘이거 빨리 얘기 좀 하면 안 될까요’ 하기도 했다 그간의 심정을 드러냈다.
127,그는 “아르헨티나 공연이 끝나고 돌아가면 며칠 안에 곧 (입영 관련 서류를) 쓸 것 같다고 했다.
128,직후 병무청이 입영 통지서를 보내는 시점에 따라 진은 이르면 올해 안에 입대할 수도 있다.
129,/이선화 기자 입대 전 솔로 활동을 이어가고 있는 그룹 방탄소년단(BTS) 맏형 진이 입대 전 심경을 전했다.
130,이날 방송에서 진은 첫 솔로 싱글 앨범을 낸 소감과 함께 최근 화제를 모은 입대와 관련된 이야기를 꺼내 눈길을 끌었다.
131,팬들에 대한 예의를 지켜야한다고 생각했다며 입대를 미룬 원인을 밝히면서 팬들에 대한 애정을 드러냈다.
132,또한 진은 그간 방탄소년단이 병역과 관련된 이슈에 휘말린 것에 대해서도 언급했다.
133,진을 포함한 방탄소년단 멤버들은 입대 관련 질문에 대해 나라가 부른다면 군대에 가겠다고 답한 바 있으나 세계적인 성과를 내고 있는 방탄소년단 멤버들에 대한 대중예술인 대체복무의 필요성이 제기되면서 본의 아니게 불필요한 비난을 받기도 했다.
134,진은 억울한 면도 없지 않아 있지만 팬들이 눈물의 공연을 보지 않게 돼 다행이다.
135,영화 해리포터 시리즈에서 함부로 입에 올려선 안 되는 악당 볼드모트처럼 군대 문제가 방탄소년단 멤버들에겐 외부에 함부로 입 밖에 내서는 금기어와 같았다는 설명이다.
136,회사에선 (군) 얘기를 안 했으면 하는데 이젠 관련이 없을 거 같다고 말한 그는 입대 관련 그간 품어 왔던 고민과 생각을 작정한 듯 털어놨다.
137,이를 두고 진은 (그 영상에서) 군대에 간다고 간접적으로 이야기를 돌려서 했던 것이라며 설명했다.
138,진은 전 늦어도 가을엔 군대에 갔으면 좋겠다고 마음 먹었는데 멤버들이 이번이 정말 마지막으로 할 수 있는 공연 같다.
139,이것까지 진행해주면 좋겠다 우리가 함성 있는 제대로 된 공연을 하지 못했다며 팬들에 대한 예의 차원에서 설득했다고 그간의 과정을 들려줬다.
140,추울 때 군대에 가 팬들에 예의를 차릴지 아니면 공연하지 않고 내가 좋아하는 더운 날씨에 갈지 고민을 많이 했다며 팬들에 예의를 지켜야겠다는 생각에 공연하고 (군대에) 들어가는 방향으로 얘기했다는 게 그의 말이다.
141,그는 부산 공연 전 입대 계획을 밝히지 않은 이유에 대해 군에 가기 전에 마지막 공연이라고 얘기하면서 팬들이 슬퍼하며 공연하고 싶지 않았다고 말했다.
142,그 사이 진의 입대를 둘러싸고 일부 정치인들은 대중예술인을 대상으로 한 대체복무제 도입을 추진했고 찬반 논란이 거세게 일었다.
143,)한 그들이 그간 음악으로 일군 성과로 대체복무를 하고 싶어하는 게 아니냐는 의혹이 걷잡을 수 없이 커졌다.
144,진은 여기저기서 안 가는 게 맞지 않겠느냐 혹은 가는 게 맞지 않냐고 했고 그 얘기가 과열돼 욕을 많이 먹었다며 억울한 감이 없지 않고 아쉽기는 해도 팬들이 눈물의 공연을 보지 않게 돼 다행이다.
145,불시착 후 지구에서의 삶을 이어 가는 우주인 진이 등장하면서 뮤직비디오는 시작한다.
146,이어 TV에서는 앵커로 깜짝 출연한 브릿팝 밴드 콜드플레이 프런트맨 크리스 마틴이 전하는 뉴스 속보가 흘러나온다.
147,고향 행성으로 돌아갈 마음에 불시착한 우주선이 있던 자리로 돌아가는 진의 모습 위로 지구에서의 추억이 회상처럼 펼쳐진다.
148,뮤직비디오 말미에는 사랑하는 사람과 소중한 것들이 있는 지구에 남기로 결심한 진이 진정한 자신의 집으로 돌아가는 장면이 여운을 남긴다.
149,팝 록(Pop Rock) 장르의 잔잔한 어쿠스틱 기타와 서서히 고조되는 신스 사운드가 조화됐다.
150,목적지 없이 흘러만 갔던 나의 모든 꿈을 찾게 해 준 이들을 너에 빗대어 표현했다.
151,진은 이날 빅히트뮤직을 통해 지금의 저를 만들어 준 아미 분들에 대한 마음을 표현해봤다면서 정처 없이 흘러가는 저의 꿈을 찾아주는 분들의 이야기에요.
152,어디서나 절 빛나게 해 준 아미 여러분을 향한 고마움·애정을 듬뿍 담았다고 소개했다.
153,진은 콜드플레이에 대해 제가 워낙 좋아하는 분들이라 이렇게 다시 인연을 맺게 돼 작업하는 내내 너무 즐겁고 설렜다면서 다시 한번 우리 콜드플레이 형님들에게 감사하다고 고마워했다.
154,부에노스아이레스 리버 플레이트 스타디움에서 열리는 이날 공연에서 진은 콜드플레이와 함께 디 아스트로넛을 부른다.
155,해당 무대는 공연 종료 후 방탄소년단 공식 유튜브 채널을 통해 공개될 예정이다.
156,진이 공연을 위해서 부에노스아이레스 공항으로 입국하자 현지가 들썩였다고 아르헨티나 매체들은 전했다.
157,마틴을 비롯 콜드플레이 멤버들은 진과 리허설 도중에 함께 찍은 사진을 트위터 등에 올렸다.
158,잔잔한 어쿠스틱 기타 선율에 신시사이저 사운드가 조화된 곡으로 세계적인 밴드 콜드플레이가 작곡과 작사 연주에 참여했습니다.
159,진은 아르헨티나에서 열리는 콜드플레이 투어에 게스트로 참여해 신곡 무대를 최초로 선보일 예정입니다.
160,&lt;진 / 방탄소년단&gt; 마이 유니버스 이후에 콜드 플레이 분들과 다시 한 번 또 호흡을 맞추게 됐습니다.
161,제가 워낙 좋아하는 분들이라 이렇게 다시 인연을 맺게 돼서 작업하는 내내 너무 즐겁고 설레였고요.
162,&lt;진 / 방탄소년단&gt; 솔로 싱글을 준비하면서 다시 한 번 멤버들의 소중함을 느낄 수 있었습니다.
163,이 노래를 들으시는 동안에는 좀 행복한 기분을 느끼셨으면 좋겠다는 마음으로 만들었습니다.
164,진은 아르헨티나 공연을 마치고 귀국하는데로 입영 연기를 취소하고 군입대 절차를 밟을 예정입니다.
165,입대를 앞둔 그는 이 자리에서 콜드플레이와 협업한 솔로 싱글 디 애스트로넛(The Astronaut)을 최초로 공개합니다.
166,아르헨티나 프로 축구팀 리버플레이트의 홈 경기장이기도 한 콘서트장에서 팬들은 좋은 자리를 차지하기 위해 텐트를 치고 밤샘 대기하는 열의를 보였습니다.
167,알록달록 장식한 플래카드와 방탄소년단 멤버 얼굴을 인쇄한 수건 등도 곳곳에 내걸렸습니다.
168,팬들은 아르헨티나 영문 표기 중간에 진을 넣어 아르진티나(Arjintina)에 온 걸 환영해라는 해시태그를 공유하며 부푼 기대감을 표현했습니다.
169,(엑스포츠뉴스 장예솔 인턴기자) 방탄소년단 진(본명 김석진)과 지석진의 대결이 성사됐다.
170,앞서 공개된 예고편에서는 런닝맨 석진과 방탄소년단 석진이 석진 세계관을 이룬 석진 대 석진 레이스가 공개되며 큰 화제가 됐다.
171,최근 진행된 녹화에서 멤버들은 방탄소년단 진과 런닝맨 석진 중 한 팀을 랜덤으로 선택해야 했다.
172,방탄소년단 진을 선택한 멤버들은 너무 신기하다 운이 너무 좋다 너무 잘생겼다며 최상의 텐션을 보이는 반면 지석진 팀을 선택한 멤버들은 똥 밟았다 최악이다.
173,이어 진은 내가 하고 싶은 대로 하겠다며 레이스에 대한 강한 자신감을 내비쳤지만 뜻밖의 몸 개그를 선보이며 종이 인형으로 전락했고 이에 멤버들은 인간미가 넘친다 진이의 허점이.
174,재판매 및 DB 금지(로스앤젤레스연합뉴스) 정윤섭 특파원 그룹 방탄소년단(BTS)과 멤버 정국 걸그룹 블랙핑크가 미국 대중문화 시상식인 피플스 초이스 어워즈(Peoples Choice Awards) 후보에 올랐다.
175,방탄소년단 - 블랙핑크연합뉴스 자료사진 이와 함께 블랙핑크는 올해의 그룹과 올해의 뮤직비디오(핑크 베놈)에 이름을 올렸다.
176,피플스 초이스 어워즈는 NBC유니버설의 엔터테인먼트 전문 케이블TV 채널 E 후원으로 개최되고 팬들의 온라인 투표를 통해 영화와 TV 음악 게임 소셜미디어 등 대중문화 전반에 걸쳐 수상자를 선정한다.
177,방탄소년단 진이 등장하자 멤버들은 “진정한 슈퍼스타가 왔다며 슈퍼스타 진의 일상에 호기심을 내비쳤다.
